CUMV_N,A1_5,A1_3,A5_3,A5_11,A11_42,A11_3,A5_42,A11_15,A15_35,A35_42,A11_35,A15_42,A15_21,A21_32,A32_35,A15_32,A35_21,A21_22,A22_30,A30_32,A21_30,A32_22,A22_24,A24_28,A28_30,A22_28,A24_30,A1_29,A1_2,A2_5,A2_3,A11_50,A50_42,A1_4,A1_6,A4_3,A1_7,A4_6,A4_7,A7_6,A1_50,P_N,Color
AK_14501_3,6.42,3.07,5.25,4.4,8.78,9.53,6.72,11.37,11.72,12.33,14.39,16.63,8.23,9.86,14.67,16.61,14.03,10.94,3.42,5.39,11.98,7.36,5.18,1.51,3.66,5.89,4.03,46.75,2.46,4.12,2.78,4.1,7.63,3.91,6.24,2.94,7.83,2.64,3.9,2.44,13.08,24,#FF0000
AK_14501_4,7.38,3.32,6.68,5.02,10.24,8.42,8.07,13.13,13.47,13.89,17.57,18.23,9.52,12.65,16.68,19.49,16.6,12.8,3.08,6.88,15.04,9.31,4.99,1.67,4.03,5.89,5.97,52.59,3.16,4.11,3.19,5.22,7.79,5.06,7.23,4.27,8.71,2.37,3.93,3.09,15.67,23,#FF0000
AK_14501_5,7.91,3.9,6.95,5.83,11.83,13.71,9.04,15.35,15.68,16.62,19.72,22.54,10.92,14.27,20.66,22.91,19.33,15.18,3.11,9.73,19.34,10.13,4.44,2.06,3.62,6,4,60.47,3.13,4.45,3.1,5.1,10.02,5.58,8.04,4.08,9.53,3.57,4.57,3.16,16.67,24,#FF0000
AK_14501_6,11.42,6.08,9.27,5.4,14.69,16.04,11.81,17.78,18.85,18.71,23.98,26.15,11.16,15.46,20.2,24.37,20.7,18.07,4.12,11.18,20.51,13.86,3.7,2.63,3.08,6.29,3.74,69.21,4.8,6.59,4.85,7.46,11.96,8.1,11,5.73,13.76,4.27,5.46,4.13,21.72,23,#FF0000
AK_14501_7,6.53,3.03,5.3,5.03,9.37,10.42,8.05,11.64,12.49,12.71,16.3,16.77,8.36,9.87,13.68,16.41,14.78,10.97,3.18,6.93,13.55,8.11,5.37,1.48,4.44,6.77,5.19,47.24,2.69,3.91,3.06,4.84,7.04,3.96,5.97,3.05,8,2.62,3.84,2.88,13.15,21,#FF0000
AK_14501_8,6.97,3.39,6.08,4.99,9.58,10.74,8.13,12.17,13.09,12.57,16.63,17.51,9.32,10.47,15.06,17.84,16.09,12.63,2.87,7.86,14.03,9.72,4.24,1.44,4.28,5.57,4.96,50.66,2.77,4.46,2.8,5.5,7.96,4.64,6.8,3.2,8.72,2.98,3.91,3.23,14.68,23,#FF0000
AK_14501_9,3.57,4.45,8.16,5.85,11.53,13.42,10.31,17.4,16.95,18,21.97,23.38,13.72,15.58,24.26,26.62,21.81,17.28,2.84,8.92,19.19,10.91,4.46,1.99,4.18,5.8,5.08,67.96,3.91,5.34,4.27,6.13,12.12,5.81,8.74,4.33,10.93,3.36,4.48,3.42,17.8,24,#FF0000
AK_14501_10,6.82,2.56,5.47,4.62,8.56,9.91,6.87,11.46,12.35,12.84,15.55,16.56,8.95,10.24,14.57,17.27,14.8,11.03,3.23,6.49,13.24,8.01,4.26,1.43,3.2,4.79,4.35,46.54,2.59,4.22,2.65,4.7,6.31,4.12,5.87,3.07,7.98,2.89,3.63,2.76,12.7,23,#FF0000
AK_14501_11,9.84,5.19,7.65,6.1,12.16,13.51,10.5,15.32,17.34,15.16,20.86,20.95,10.3,15.32,18.44,22.85,19.6,17.18,3.75,9.08,18.2,11.98,4.71,2.11,4.29,6.02,5.87,62.57,4.77,5.4,4.24,6.27,8.49,6.86,9.25,4.51,11.42,3.25,4.59,3.09,18.42,25,#FF0000
AK_14501_12,8.31,4.18,7.12,6.1,11.27,12.68,9.43,15.7,14.8,15.44,19.3,21.14,10.28,14.05,19.78,22.14,18.86,14.53,3.33,8.3,17.44,9.54,4.47,1.87,3.47,5.38,5.21,61.13,3.91,5.11,3.78,6.08,8.57,5.98,8.17,3.96,10.29,3.29,4.14,3.62,17.73,22,#FF0000
AK_14501_13,7,3.26,6.38,4.43,9.8,10.79,7.91,11.21,13.7,13.06,16.64,18.39,9.63,12.27,15.85,19.32,16.24,12.84,3.22,7.93,15.54,8.82,5.61,1.77,4.51,7.18,5.2,52.87,3.21,4.32,2.93,4.29,8.34,4.93,7.12,3.87,8.91,2.51,4.09,3.07,14.95,23,#FF0000
AK_14501_14,9.71,5.05,7.31,6.28,12.4,13.95,10.29,15.19,16.98,16.29,21.45,22.5,10.52,14.81,18.29,22.68,19.45,17.06,3.86,9.27,18.94,11.86,4.08,1.94,4.25,6.26,4.78,54.69,3.39,4.49,3.42,5.33,7.47,4.91,7.42,4.04,8.97,3.37,4.16,3.34,15.38,24,#FF0000
AK_14501_15,7.91,3.71,6.41,5.24,10.67,6.67,9.05,14.98,14.61,14.81,19.01,20.19,10.79,14.16,19.83,23.33,18.7,14.41,3,8.17,14.51,10.45,5.48,1.79,3.22,5.49,4.15,58.48,3.67,4.34,3.57,5.77,9.44,5.37,7.97,3.75,10,3.4,4.28,3.57,15.87,18,#FF0000
LB_17844_1,8.85,4.41,7.14,5.91,10.68,12.82,8.57,12.84,14.45,13.45,17.89,9.18,9.97,11.85,15.29,18.66,16.83,15.4,3.08,10.9,16.72,11.63,5.01,1.93,3.54,5.99,4.91,55.24,3.32,5.19,3.43,5.68,8.79,5.9,8.31,4.13,10.68,3.36,5.11,3.67,16.11,20,#800080
LB_17844_2,8.17,4.06,6.53,4.05,10.32,12.31,9.11,14.63,13.25,14.93,17.87,19.4,10.55,12.99,18.36,22.03,16.53,15.83,3.14,9.98,17.5,10.25,4.7,1.78,4.01,5.38,5.44,58.51,3.06,4.85,3.73,5.36,8.03,5.59,7.64,3.69,9.98,3.44,5,3.24,16.49,22,#800080
LB_17844_3,8.61,4.09,6.91,6.62,10.91,12.55,9.21,14.89,13.78,14.16,18.18,20.89,11.25,12.66,18.55,21.41,16.98,15.97,3.15,10.13,17.75,11.46,4.4,2.02,3.16,4.69,5.51,59.63,3.69,5.36,3.46,5.72,8.81,5.17,8.06,3.86,10.28,3.35,4.82,3.2,16.98,23,#800080
LB_17844_4,8.01,4.39,6.1,4.81,10.29,10.14,8.68,13.28,12.72,12.15,16.85,18.55,8.27,10.43,12.95,15.96,15.42,12.68,2.93,10.42,14.88,11.61,3.55,1.86,3.12,6.02,4.25,51.38,3.64,4.41,3.49,5.9,8.51,5.18,7.5,3.59,9.54,2.97,4.72,3.28,16.37,22,#800080
LB_17844_5,8.96,4.14,6.58,5.52,10.9,12.12,8.63,13.46,13.77,13.8,17.01,19.91,9.56,11.8,14.91,17.89,16.53,14.91,3.28,11.37,17.17,12.53,3.76,1.88,3.43,5.85,5.62,54.87,3.44,5.14,3.26,6.43,8.96,5.6,8.33,4.01,10.23,3.62,4.8,3.04,17.07,23,#800080
LB_17844_6,8.36,4.02,6.73,4.71,10.85,11.67,9.23,14.88,13.17,14.48,17.29,21.27,10.4,11.81,16.85,18.53,17.26,15.56,3.4,10.7,17.47,12.64,4.72,2.07,4.16,5.45,5.59,58.42,3.43,5,3.43,5.7,9.18,5.12,7.73,3.63,9.7,4.09,5.08,3.97,16.46,24,#800080
